point_ID,serve_num,server_id,returner_id,court_side,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,point_end_type,error_type,unforcedErrorPlacement,x_serve_bounce,y_serve_bounce,z_serve_bounce,is_fault,is_ace
1_1_1_1,1,35398,9801,DeuceCourt,4.38 Metre,-11.47669335,-0.82587832,2.95726209,Faulty Serve,Long Error,NA,10.79167246,3.771461815,0.039375105,1,0
1_1_1_2,2,35398,9801,DeuceCourt,NA,-11.66617999,-0.703205542,3.047933985,DoubleFault,NA,NA,6.632737498,1.434677361,0.044034614,1,0
1_1_2_1,1,35398,9801,AdCourt,0.12 Metre,-11.3714292,1.283775762,2.990257079,Faulty Serve,Net Error,Net Error,-0.109401191,-1.079238548,0.045669367,1,0
1_1_2_2,2,35398,9801,AdCourt,NA,-11.47105677,1.49787197,3.01792384,Unforced Error,NA,Wide Error,5.182128872,-3.063978927,0.036510847,0,0
1_1_3_1,1,35398,9801,DeuceCourt,NA,-11.58418903,-0.848500381,2.996136694,Unforced Error,NA,Wide Error,5.449220308,0.873331304,0.050030757,0,0
1_1_4_1,1,35398,9801,AdCourt,NA,-11.39425227,1.336897649,2.998894486,Unforced Error,NA,Net Error,5.315732766,-3.444131867,0.03106663,0,0
1_1_5_1,1,35398,9801,DeuceCourt,NA,-11.56850927,-1.02683515,2.971454753,Forced Error,NA,NA,4.909740609,3.746411341,0.038367505,0,0
1_1_6_1,1,35398,9801,AdCourt,NA,-11.45755437,1.224286674,2.895864671,Faulty Serve,NA,NA,0.001023386,0.004963009,0.000443782,1,0
1_1_6_2,2,35398,9801,AdCourt,NA,-11.52100602,1.781575656,3.037500789,Winner,NA,NA,5.483969168,-3.413081112,0.035363581,0,0
1_1_7_1,1,35398,9801,DeuceCourt,NA,-11.59243933,-0.960869312,2.992004527,Faulty Serve,NA,NA,0.005783827,0.0077273,0.007848115,1,0
1_1_7_2,2,35398,9801,DeuceCourt,NA,-11.66156909,-0.583849048,2.971779183,Unforced Error,NA,Wide Error,4.466573915,1.070413811,0.049213078,0,0
1_1_8_1,1,35398,9801,AdCourt,NA,-11.59347657,2.240165582,2.937375628,Unforced Error,NA,NA,4.720854192,-3.335630753,0.038779166,0,0
1_1_9_1,1,35398,9801,DeuceCourt,NA,-11.72180896,-0.935680399,2.943638274,Winner,NA,NA,4.348007423,3.621677895,0.047851291,0,0
1_1_10_1,1,35398,9801,AdCourt,NA,-11.44539414,1.564646248,3.008451064,Faulty Serve,NA,NA,0.006083972,0.003433453,0.00869308,1,0
1_1_10_2,2,35398,9801,AdCourt,NA,-11.46088466,1.740719133,2.987536061,Winner,NA,NA,4.693981722,-1.957067891,0.039414093,0,0
1_1_11_1,1,35398,9801,DeuceCourt,NA,-11.43301507,-0.84011013,2.991250874,Forced Error,NA,NA,4.281854225,0.780368033,0.044029155,0,0
1_1_12_1,1,35398,9801,AdCourt,NA,-11.48693767,1.430050947,2.988672306,Ace,NA,NA,4.742252497,-3.521052253,0.040853573,0,1
1_1_13_1,1,35398,9801,DeuceCourt,NA,-11.41529559,-0.898887783,2.950300182,Ace,NA,NA,4.872350531,-0.008563958,0.043027105,0,1
1_1_14_1,1,35398,9801,AdCourt,NA,-11.50197887,1.336917066,3.005197329,Ace,NA,NA,4.855052666,-3.963570397,0.03170807,0,1
1_2_1_1,1,9801,35398,DeuceCourt,NA,-11.38071372,-0.883761586,2.852147187,Unforced Error,NA,Wide Error,5.30466328,3.543966136,0.042220574,0,0
1_2_2_1,1,9801,35398,AdCourt,NA,-11.33540314,0.877316828,2.798986454,Winner,NA,NA,5.116326617,-3.393322756,0.03162339,0,0
1_2_3_1,1,9801,35398,DeuceCourt,NA,-11.23045841,-0.773398017,2.867523031,Forced Error,NA,NA,4.644487152,3.233109752,0.046040459,0,0
1_2_4_1,1,9801,35398,AdCourt,NA,-11.29740203,0.888668291,2.801665971,Unforced Error,NA,Net Error,5.547136365,-0.856339995,0.039654562,0,0
1_3_1_1,1,35398,9801,DeuceCourt,NA,11.39267328,0.833218865,2.954678819,Winner,NA,NA,-5.169893012,-4.026640006,0.046755719,0,0
1_3_2_1,1,35398,9801,AdCourt,NA,11.57085333,-1.381417943,2.991908673,Forced Error,NA,NA,-5.104903193,0.707381453,0.046441788,0,0
