point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,-11.47669335,-0.82587832,2.95726209
1_1_1_1,1,1,1,1,1,net,0.026734387,2.261820085,0.984128108
1_1_1_1,1,1,1,1,1,peak,3.788945911,2.839998692,1.293683455
1_1_1_1,1,1,1,1,1,bounce,10.78581412,3.76736079,0.040347056
1_1_1_1,1,1,1,1,1,last,10.84572844,3.77594056,0.048327901
1_1_1_2,1,1,1,2,1,hit,-11.66617999,-0.703205542,3.047933985
1_1_1_2,1,1,1,2,1,net,0.004227084,0.355721362,1.63880476
1_1_1_2,1,1,1,2,1,bounce,6.628860603,1.434574063,0.042296258
1_1_1_2,1,1,1,2,1,last,11.46693614,2.002605091,1.401104108
1_1_2_1,1,1,2,1,1,hit,-11.3714292,1.283775762,2.990257079
1_1_2_1,1,1,2,1,1,net,0.031953927,-0.658014713,0.853680938
1_1_2_1,1,1,2,1,1,peak,0.030042994,-0.660926699,0.852256654
1_1_2_1,1,1,2,1,1,bounce,-0.113298799,-1.08526659,0.04487277
1_1_2_1,1,1,2,1,1,last,-0.998713928,-1.5267082,0.684661642
1_1_2_2,1,1,2,2,1,hit,-11.47105677,1.49787197,3.01792384
1_1_2_2,1,1,2,2,1,net,0.009708806,-1.931090284,1.366948853
1_1_2_2,1,1,2,2,1,bounce,5.191730094,-3.060708315,0.034169714
1_1_2_2,1,1,2,2,1,peak,11.21965824,-4.815252647,1.50927607
1_1_2_2,1,1,2,2,2,hit,11.22161977,-4.816164718,1.508080541
1_1_2_2,1,1,2,2,2,peak,5.911282361,-2.894097348,1.703691375
1_1_2_2,1,1,2,2,2,net,0.008417338,-0.881119808,1.414101049
1_1_2_2,1,1,2,2,2,bounce,-7.37811576,1.449446901,0.044802511
1_1_2_2,1,1,2,2,2,peak,-11.11560875,2.601220347,0.833728231
1_1_2_2,1,1,2,2,3,hit,-11.9441694,2.834187016,0.794161276
1_1_2_2,1,1,2,2,3,peak,-5.193908493,2.10254827,1.359411199
1_1_2_2,1,1,2,2,3,net,-0.071390702,1.604775071,0.994703152
1_1_2_2,1,1,2,2,3,peak,1.876793978,1.362173746,1.074945367
1_1_2_2,1,1,2,2,3,bounce,7.594777054,0.647400536,0.043690705
1_1_2_2,1,1,2,2,3,peak,11.23190633,0.153482652,0.750348872
1_1_2_2,1,1,2,2,4,hit,12.22640616,0.029863225,0.693193607
1_1_2_2,1,1,2,2,4,peak,3.314331366,1.22881826,1.941014295
1_1_2_2,1,1,2,2,4,net,0.000169041,1.568100466,1.720914891
1_1_2_2,1,1,2,2,4,bounce,-5.722983631,1.964504889,0.046941639
1_1_2_2,1,1,2,2,4,peak,-10.4743105,2.365343646,1.25753202
1_1_2_2,1,1,2,2,5,hit,-13.29945343,2.566885388,0.717164289
1_1_2_2,1,1,2,2,5,peak,-3.1051069,0.25403923,1.834612198
1_1_2_2,1,1,2,2,5,net,0.005752597,-0.455814331,1.715144104
1_1_2_2,1,1,2,2,5,bounce,8.457685665,-2.373697639,0.039340574
1_1_2_2,1,1,2,2,5,peak,13.14663759,-3.475707232,1.375740531
1_1_2_2,1,1,2,2,6,hit,13.14894035,-3.477229777,1.377648065
1_1_2_2,1,1,2,2,6,peak,5.220452661,-1.707997798,1.810189062
1_1_2_2,1,1,2,2,6,net,0.003664867,-0.62349113,1.573881495
1_1_2_2,1,1,2,2,6,bounce,-7.762955495,0.828752017,0.045703473
1_1_2_2,1,1,2,2,6,peak,-11.56910913,1.592368552,0.994646543
1_1_2_2,1,1,2,2,7,hit,-12.97928987,1.873507996,0.841733726
1_1_2_2,1,1,2,2,7,peak,-5.154291882,2.30251631,1.372288777
1_1_2_2,1,1,2,2,7,net,0.004533353,2.605396441,1.10368862
1_1_2_2,1,1,2,2,7,bounce,5.974624522,2.944656274,0.042333606
1_1_2_2,1,1,2,2,7,peak,12.5468656,3.274758267,1.244405645
1_1_2_2,1,1,2,2,8,hit,14.95493411,3.420294077,1.069673631
1_1_2_2,1,1,2,2,8,peak,7.163868408,1.215432051,1.754774905
1_1_2_2,1,1,2,2,8,net,0.00642112,-0.962256582,0.999612814
1_1_2_2,1,1,2,2,8,bounce,-3.300880798,-2.036909828,0.050667437
1_1_2_2,1,1,2,2,8,peak,-8.434846006,-3.650686919,1.267407498
1_1_2_2,1,1,2,2,9,hit,-11.37287259,-4.59688165,0.768381776
1_1_2_2,1,1,2,2,9,peak,-2.501550707,-1.627845506,1.75072003
1_1_2_2,1,1,2,2,9,net,0.008324785,-0.799438968,1.659489062
1_1_2_2,1,1,2,2,9,bounce,7.958935409,1.771019267,0.048394163
1_1_2_2,1,1,2,2,9,peak,13.29859178,3.42224466,1.25694531
1_1_2_2,1,1,2,2,10,hit,14.11185872,3.664287867,1.225441341
1_1_2_2,1,1,2,2,10,peak,4.9972731,3.366523738,1.88961765
1_1_2_2,1,1,2,2,10,net,0.001118927,3.205637968,1.636856574
1_1_2_2,1,1,2,2,10,bounce,-7.466955613,3.000283202,0.041057484
1_1_2_2,1,1,2,2,10,peak,-12.55891869,2.80279122,1.220646391
1_1_2_2,1,1,2,2,11,hit,-14.18594295,2.755657112,1.080507504
1_1_2_2,1,1,2,2,11,peak,-6.751385398,0.617796993,1.942214237
1_1_2_2,1,1,2,2,11,net,0.003746549,-1.343321981,1.088622268
1_1_2_2,1,1,2,2,11,bounce,3.173794417,-2.238837934,0.035102729
1_1_2_2,1,1,2,2,11,peak,8.621705654,-3.869813368,1.499045741
1_1_2_2,1,1,2,2,12,hit,10.87181148,-4.536152704,1.218225563
1_1_2_2,1,1,2,2,12,peak,4.183631853,-2.017035074,1.482746322
1_1_2_2,1,1,2,2,12,net,0.005354469,-0.420712173,1.339763535
1_1_2_2,1,1,2,2,12,bounce,-7.459257143,2.519091466,0.037059119
1_1_2_2,1,1,2,2,12,peak,-9.858074208,3.5368306,0.569037229
1_1_2_2,1,1,2,2,13,hit,-10.67179727,3.894189977,0.492075023
1_1_2_2,1,1,2,2,13,peak,-0.117645335,0.693515455,1.536134795
1_1_2_2,1,1,2,2,13,net,0.00874617,0.663584078,1.534715259
1_1_2_2,1,1,2,2,13,bounce,10.27662361,-1.669812728,0.041635702
1_1_2_2,1,1,2,2,13,peak,13.17347479,-2.000766414,0.755031037
1_1_2_2,1,1,2,2,14,hit,13.54806877,-2.037266188,0.741041501
1_1_2_2,1,1,2,2,14,peak,4.140768729,-3.017804213,1.469989327
1_1_2_2,1,1,2,2,14,net,0.002020802,-3.51041375,1.292239086
1_1_2_2,1,1,2,2,14,bounce,-6.966935904,-4.458413593,0.038511111
1_1_2_2,1,1,2,2,14,last,-11.19592091,-5.043453665,0.908681215
1_1_3_1,1,1,3,1,1,hit,-11.58418903,-0.848500381,2.996136694
1_1_3_1,1,1,3,1,1,net,0.002412088,0.268047671,1.163281486
1_1_3_1,1,1,3,1,1,bounce,5.455227487,0.873259375,0.046002138
1_1_3_1,1,1,3,1,1,peak,14.86416002,1.768773504,1.653631636
1_1_3_1,1,1,3,1,2,hit,14.86851364,1.770579009,1.655245317
1_1_3_1,1,1,3,1,2,peak,3.669353729,2.210474823,2.945755441
1_1_3_1,1,1,3,1,2,net,0.004788204,2.353310367,2.758338357
1_1_3_1,1,1,3,1,2,bounce,-9.65301934,2.662563495,0.043588237
1_1_3_1,1,1,3,1,2,peak,-12.94674102,2.957265434,1.480429718
1_1_3_1,1,1,3,1,3,hit,-13.19950558,2.983122212,1.468593347
1_1_3_1,1,1,3,1,3,peak,-2.235185969,-0.333277734,3.032019172
1_1_3_1,1,1,3,1,3,net,0.001962742,-0.945791725,2.952036579
1_1_3_1,1,1,3,1,3,bounce,10.8657367,-3.65109336,0.032983738
1_1_3_1,1,1,3,1,3,peak,13.51260472,-4.40215138,1.139591685
1_1_3_1,1,1,3,1,4,hit,13.51743256,-4.401502109,1.141356616
1_1_3_1,1,1,3,1,4,peak,5.193811461,-1.957905114,1.728789863
1_1_3_1,1,1,3,1,4,net,0.007311215,-0.455902515,1.448362123
1_1_3_1,1,1,3,1,4,bounce,-6.828112431,1.487359443,0.038973964
1_1_3_1,1,1,3,1,4,peak,-10.98227836,2.665644837,1.031932539
1_1_3_1,1,1,3,1,5,hit,-12.46735492,3.093855505,0.887224759
1_1_3_1,1,1,3,1,5,peak,-4.225438868,0.522191223,1.478137187
1_1_3_1,1,1,3,1,5,net,0.007100677,-0.767891058,1.302638883
1_1_3_1,1,1,3,1,5,bounce,7.246604877,-2.965712668,0.04111936
1_1_3_1,1,1,3,1,5,peak,13.20821815,-4.709081453,1.118267659
1_1_3_1,1,1,3,1,6,hit,14.23216721,-5.006551568,1.077247677
1_1_3_1,1,1,3,1,6,peak,4.0616639,-3.650152316,1.720198282
1_1_3_1,1,1,3,1,6,net,0.004517074,-3.196244441,1.590949617
1_1_3_1,1,1,3,1,6,bounce,-9.583123301,-2.371775015,0.044946796
1_1_3_1,1,1,3,1,6,peak,-14.19200006,-1.762118349,1.127362007
1_1_3_1,1,1,3,1,7,hit,-14.19344941,-1.760208525,1.126729568
1_1_3_1,1,1,3,1,7,peak,-4.670768222,-0.17748176,2.324383232
1_1_3_1,1,1,3,1,7,net,0.006113535,0.606486099,1.977820963
1_1_3_1,1,1,3,1,7,bounce,6.773625924,1.707160318,0.04548053
1_1_3_1,1,1,3,1,7,peak,12.73578355,2.661837218,1.670492527
1_1_3_1,1,1,3,1,8,hit,13.56608394,2.78664153,1.638714114
1_1_3_1,1,1,3,1,8,peak,8.669698029,1.57251955,1.775981116
1_1_3_1,1,1,3,1,8,net,0.003429324,-0.575226071,1.248557764
1_1_3_1,1,1,3,1,8,bounce,-6.258250365,-2.104291437,0.04446437
1_1_3_1,1,1,3,1,8,peak,-11.77562786,-3.549374102,1.029491804
1_1_3_1,1,1,3,1,9,hit,-13.75702518,-4.072595056,0.883773358
1_1_3_1,1,1,3,1,9,peak,-5.087558635,-1.694213743,1.55722881
1_1_3_1,1,1,3,1,9,net,0.009904582,-0.299779637,1.284907321
1_1_3_1,1,1,3,1,9,bounce,6.467708061,1.434964983,0.046148546
1_1_3_1,1,1,3,1,9,peak,12.48508934,3.089909968,1.248484445
1_1_3_1,1,1,3,1,10,hit,13.42908092,3.353107379,1.218249035
1_1_3_1,1,1,3,1,10,peak,4.941220098,2.732749086,1.832279074
1_1_3_1,1,1,3,1,10,net,0.005753021,2.372205052,1.582788721
1_1_3_1,1,1,3,1,10,bounce,-7.580930568,1.810036477,0.044930508
1_1_3_1,1,1,3,1,10,peak,-13.66356952,1.287216787,1.555273822
1_1_3_1,1,1,3,1,11,hit,-14.23440572,1.238171568,1.542560204
1_1_3_1,1,1,3,1,11,peak,-3.985978892,-0.236961792,2.519815476
1_1_3_1,1,1,3,1,11,net,0.00933442,-0.741515464,2.337036123
1_1_3_1,1,1,3,1,11,bounce,10.0350017,-1.782340514,0.038509746
1_1_3_1,1,1,3,1,11,peak,13.08690421,-2.235782012,1.279087123
1_1_3_1,1,1,3,1,12,hit,13.09187192,-2.232255673,1.275494833
1_1_3_1,1,1,3,1,12,peak,5.629423741,-0.335808003,1.691308596
1_1_3_1,1,1,3,1,12,net,0.000545696,1.03526149,1.400706267
1_1_3_1,1,1,3,1,12,bounce,-7.060830747,2.658781881,0.045815119
1_1_3_1,1,1,3,1,12,peak,-11.49279685,3.664128697,1.014875508
1_1_3_1,1,1,3,1,13,hit,-13.20635507,4.020843987,0.84093466
1_1_3_1,1,1,3,1,13,peak,-3.592427601,0.903765127,1.725282202
1_1_3_1,1,1,3,1,13,net,0.009270767,-0.259388785,1.574371668
1_1_3_1,1,1,3,1,13,bounce,8.126103986,-2.80838984,0.038870008
1_1_3_1,1,1,3,1,13,peak,13.39833052,-4.549079279,1.282284841
1_1_3_1,1,1,3,1,14,hit,13.40084711,-4.54330834,1.277240339
1_1_3_1,1,1,3,1,14,peak,3.683154242,-1.164646073,1.895908989
1_1_3_1,1,1,3,1,14,net,0.009834408,0.071642732,1.784501448
1_1_3_1,1,1,3,1,14,bounce,-9.982509428,3.262475798,0.041276857
1_1_3_1,1,1,3,1,14,peak,-13.59096114,4.391082706,0.93337453
1_1_3_1,1,1,3,1,15,hit,-13.59670691,4.390752513,0.937767889
1_1_3_1,1,1,3,1,15,peak,-5.149766621,3.629749236,1.378826558
1_1_3_1,1,1,3,1,15,net,0.005697212,3.195596338,1.184164536
1_1_3_1,1,1,3,1,15,bounce,7.772016516,2.657398864,0.051133615
1_1_3_1,1,1,3,1,15,peak,12.66677398,2.366770063,0.671207683
1_1_3_1,1,1,3,1,16,hit,14.89640671,2.231407917,0.524025836
1_1_3_1,1,1,3,1,16,peak,3.313209091,2.249179621,2.067529677
1_1_3_1,1,1,3,1,16,net,0.004215595,2.136585381,1.904058726
1_1_3_1,1,1,3,1,16,bounce,-7.543648053,1.697146152,0.039647213
1_1_3_1,1,1,3,1,16,peak,-12.15504548,1.385913497,1.302404591
1_1_3_1,1,1,3,1,17,hit,-13.35584132,1.28471203,1.210593325
1_1_3_1,1,1,3,1,17,peak,-4.765406932,2.559800602,1.849308725
1_1_3_1,1,1,3,1,17,net,0.000332921,3.236703593,1.618305749
1_1_3_1,1,1,3,1,17,bounce,7.915373541,4.326199842,0.045626828
1_1_3_1,1,1,3,1,17,last,14.70044554,5.337316287,1.481685156
1_1_4_1,1,1,4,1,1,hit,-11.39425227,1.336897649,2.998894486
1_1_4_1,1,1,4,1,1,net,0.003775472,-2.013438319,1.134492295
1_1_4_1,1,1,4,1,1,bounce,5.323781055,-3.441461626,0.038791609
1_1_4_1,1,1,4,1,1,peak,15.45349938,-6.159087168,1.574027165
1_1_4_1,1,1,4,1,2,hit,16.11260723,-6.323126619,1.565985808
1_1_4_1,1,1,4,1,2,peak,5.27507107,-3.33586595,2.713686564
1_1_4_1,1,1,4,1,2,net,0.002451788,-2.086225268,2.352556975
1_1_4_1,1,1,4,1,2,bounce,-8.223651709,-0.410684624,0.045649638
1_1_4_1,1,1,4,1,2,peak,-11.58846148,0.270370193,1.44689902
1_1_4_1,1,1,4,1,3,hit,-11.58612905,0.272217585,1.445268848
1_1_4_1,1,1,4,1,3,peak,-5.591682738,1.193346389,1.794405851
1_1_4_1,1,1,4,1,3,net,0.002676102,1.997031679,1.434627325
1_1_4_1,1,1,4,1,3,bounce,6.390062239,2.779764493,0.042378872
1_1_4_1,1,1,4,1,3,peak,13.04317346,3.833190726,1.343106698
1_1_4_1,1,1,4,1,3,peak,11.41772885,3.418688509,2.145051785
1_1_4_1,1,1,4,1,4,hit,11.41753531,3.412918569,2.142107003
1_1_4_1,1,1,4,1,4,net,-0.080826112,0.533993708,0.1913517
1_1_4_1,1,1,4,1,4,peak,0.23597689,0.527203536,0.343325931
1_1_4_1,1,1,4,1,4,bounce,0.976065324,0.569991305,0.045901072
